gamma,tdxy,zdamping,nbadballs
0.5,0.9,1.7000000000000002,591
0.5,0.9,1.8,593
0.5,0.9,1.9000000000000001,590
0.5,0.9,2.0,586
0.5,1.0,0.1,622
0.5,1.0,0.2,615
0.5,1.0,0.30000000000000004,608
0.5,1.0,0.4,606
0.5,1.0,0.5,605
0.5,1.0,0.6000000000000001,602
0.5,1.0,0.7000000000000001,602
0.5,1.0,0.8,601
0.5,1.0,0.9,601
0.5,1.0,1.0,601
0.5,1.0,1.1,601
0.5,1.0,1.2000000000000002,596
0.5,1.0,1.3,598
0.5,1.0,1.4000000000000001,591
0.5,1.0,1.5,594
0.5,1.0,1.6,594
0.5,1.0,1.7000000000000002,594
0.5,1.0,1.8,594
0.5,1.0,1.9000000000000001,597
0.5,1.0,2.0,598
0.5,1.1,0.1,622
0.5,1.1,0.2,619
0.5,1.1,0.30000000000000004,609
0.5,1.1,0.4,606
0.5,1.1,0.5,609
0.5,1.1,0.6000000000000001,604
0.5,1.1,0.7000000000000001,600
0.5,1.1,0.8,601
0.5,1.1,0.9,600
0.5,1.1,1.0,601
0.5,1.1,1.1,603
0.5,1.1,1.2000000000000002,601
0.5,1.1,1.3,599
0.5,1.1,1.4000000000000001,597
0.5,1.1,1.5,599
0.5,1.1,1.6,600
0.5,1.1,1.7000000000000002,599
0.5,1.1,1.8,598
0.5,1.1,1.9000000000000001,597
0.5,1.1,2.0,600
0.5,1.2000000000000002,0.1,621
0.5,1.2000000000000002,0.2,621
0.5,1.2000000000000002,0.30000000000000004,609
0.5,1.2000000000000002,0.4,607
0.5,1.2000000000000002,0.5,607
0.5,1.2000000000000002,0.6000000000000001,606
0.5,1.2000000000000002,0.7000000000000001,604
0.5,1.2000000000000002,0.8,601
0.5,1.2000000000000002,0.9,600
0.5,1.2000000000000002,1.0,600
0.5,1.2000000000000002,1.1,602
0.5,1.2000000000000002,1.2000000000000002,598
0.5,1.2000000000000002,1.3,600
0.5,1.2000000000000002,1.4000000000000001,602
0.5,1.2000000000000002,1.5,599
0.5,1.2000000000000002,1.6,599
0.5,1.2000000000000002,1.7000000000000002,600
0.5,1.2000000000000002,1.8,598
0.5,1.2000000000000002,1.9000000000000001,596
0.5,1.2000000000000002,2.0,595
0.5,1.3,0.1,624
0.5,1.3,0.2,620
0.5,1.3,0.30000000000000004,614
0.5,1.3,0.4,607
0.5,1.3,0.5,608
0.5,1.3,0.6000000000000001,609
0.5,1.3,0.7000000000000001,607
0.5,1.3,0.8,604
0.5,1.3,0.9,601
0.5,1.3,1.0,603
0.5,1.3,1.1,600
0.5,1.3,1.2000000000000002,601
0.5,1.3,1.3,597
0.5,1.3,1.4000000000000001,602
0.5,1.3,1.5,598
0.5,1.3,1.6,601
0.5,1.3,1.7000000000000002,597
0.5,1.3,1.8,599
0.5,1.3,1.9000000000000001,599
0.5,1.3,2.0,598
0.5,1.4000000000000001,0.1,623
0.5,1.4000000000000001,0.2,620
0.5,1.4000000000000001,0.30000000000000004,618
0.5,1.4000000000000001,0.4,609
0.5,1.4000000000000001,0.5,607
0.5,1.4000000000000001,0.6000000000000001,608
0.5,1.4000000000000001,0.7000000000000001,605
0.5,1.4000000000000001,0.8,602
0.5,1.4000000000000001,0.9,601
0.5,1.4000000000000001,1.0,601
0.5,1.4000000000000001,1.1,601
0.5,1.4000000000000001,1.2000000000000002,598
0.5,1.4000000000000001,1.3,598
0.5,1.4000000000000001,1.4000000000000001,599
0.5,1.4000000000000001,1.5,604
0.5,1.4000000000000001,1.6,599
0.5,1.4000000000000001,1.7000000000000002,601
0.5,1.4000000000000001,1.8,601
0.5,1.4000000000000001,1.9000000000000001,603
0.5,1.4000000000000001,2.0,600
0.5,1.5,0.1,623
0.5,1.5,0.2,622
0.5,1.5,0.30000000000000004,618
0.5,1.5,0.4,612
0.5,1.5,0.5,609
0.5,1.5,0.6000000000000001,609
0.5,1.5,0.7000000000000001,608
0.5,1.5,0.8,609
